"연번","어린이집명","어린이집유형","주소","정원","현원"
"1846","꿈나무어린이집","가정","부산광역시 부산진구 황령대로18번길 37 2동 102호 (범천동, 대원아파트)","15","13"
"1847","동아어린이집","가정","경기도 성남시 분당구 불정로 179 203동 102호(정자동, 정든마을동아2단지아파트)","16","16"
"1848","해아어린이집","민간","경기도 부천시 소사구 마니로 6 (송내동)","95","93"
"1849","하은어린이집","가정","인천광역시 남동구 구월로 192 1301동 101호(구월동, 구월힐스테이트)","20","20"
"1850","성호어린이집","가정","경기도 의정부시 안말로85번길 61 101동 104호(호원동, 성호아파트)","19","16"
"1851","나우어린이집","가정","경기도 성남시 분당구 양현로166번길 20 910동 101호(이매동, 이매촌동신9단지아파트)","20","19"
"1852","세류사임당어린이집","민간","경기도 수원시 권선구 세지로4번길 7 (세류동)","35","32"
"1853","아바키즈어린이집","민간","충청남도 천안시 동남구 고재15길 19-11 (원성동)","86","44"
"1854","화남어린이집","사회복지법인","대구광역시 달성군 화원읍 비슬로512길 44","101","101"
"1855","키즈리베2어린이집","민간","경상북도 포항시 북구 성실로 55 현진에버빌 1단지 관리동(키즈리베2어린이집)","30","18"
"1856","상록어린이집","민간","경기도 의정부시 부용로 174 상록아이파크단지내 상록어린이집","25","21"
"1857","나래어린이집","민간","인천광역시 남구 주안중로38번길 30 1층 (주안동)","32","30"
"1858","성산어린이집","국공립","경상북도 고령군 성산면 성산로 990","64","52"
"1859","내행어린이집","국공립","경기도 동두천시 삼육사로1002번길 8 (생연동)","62","61"
"1860","수정 어린이집","국공립","경상남도 진주시 촉석로217번길 20 (수정동)","72","70"
